dsID,region,indID,period,value,is_number,source
fts,ALA,FY520,2007,0.0,1,""
fts,ALA,FY540,2007,0.0,1,""
fts,ALA,FY550,2007,0.0,1,""
fts,ALA,FY620,2007,0.0,1,""
fts,ALA,FY630,2007,0.0,1,""
fts,ALA,FY240,2008,0.0,1,""
fts,ALA,FY360,2008,0.0,1,""
fts,ALA,FY370,2008,0.0,1,""
fts,ALA,FY380,2008,0.0,1,""
fts,ALA,FY500,2008,0.0,1,""
fts,ALA,FY510,2008,0.0,1,""
fts,ALA,FY520,2008,0.0,1,""
fts,ALA,FY540,2008,0.0,1,""
fts,ALA,FY550,2008,0.0,1,""
fts,ALA,FY620,2008,0.0,1,""
fts,ALA,FY630,2008,0.0,1,""
fts,ALA,FY240,2009,0.0,1,""
fts,ALA,FY360,2009,0.0,1,""
fts,ALA,FY370,2009,0.0,1,""
fts,ALA,FY380,2009,0.0,1,""
fts,ALA,FY500,2009,0.0,1,""
fts,ALA,FY510,2009,0.0,1,""
fts,ALA,FY520,2009,0.0,1,""
fts,ALA,FY540,2009,0.0,1,""
fts,ALA,FY550,2009,0.0,1,""
fts,ALA,FY620,2009,0.0,1,""
fts,ALA,FY630,2009,0.0,1,""
fts,ALA,FY240,2010,0.0,1,""
fts,ALA,FY360,2010,0.0,1,""
fts,ALA,FY370,2010,0.0,1,""
fts,ALA,FY380,2010,0.0,1,""
fts,ALA,FY500,2010,0.0,1,""
fts,ALA,FY510,2010,0.0,1,""
fts,ALA,FY520,2010,0.0,1,""
fts,ALA,FY540,2010,0.0,1,""
fts,ALA,FY550,2010,0.0,1,""
fts,ALA,FY620,2010,0.0,1,""
fts,ALA,FY630,2010,0.0,1,""
fts,ALA,FY240,2011,0.0,1,""
fts,ALA,FY360,2011,0.0,1,""
fts,ALA,FY370,2011,0.0,1,""
fts,ALA,FY380,2011,0.0,1,""
fts,ALA,FY500,2011,0.0,1,""
fts,ALA,FY510,2011,0.0,1,""
fts,ALA,FY520,2011,0.0,1,""
fts,ALA,FY540,2011,0.0,1,""
fts,ALA,FY550,2011,0.0,1,""
fts,ALA,FY620,2011,0.0,1,""
fts,ALA,FY630,2011,0.0,1,""
fts,ALA,FY240,2012,0.0,1,""
fts,ALA,FY360,2012,0.0,1,""
fts,ALA,FY370,2012,0.0,1,""
fts,ALA,FY380,2012,0.0,1,""
fts,ALA,FY500,2012,0.0,1,""
fts,ALA,FY510,2012,0.0,1,""
fts,ALA,FY520,2012,0.0,1,""
fts,ALA,FY540,2012,0.0,1,""
fts,ALA,FY550,2012,0.0,1,""
fts,ALA,FY620,2012,0.0,1,""
fts,ALA,FY630,2012,0.0,1,""
fts,ALA,FY240,2013,0.0,1,""
fts,ALA,FY360,2013,0.0,1,""
